name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
"Sims, Charles",Male,1873–1928,1873,1928,"Islington, United Kingdom",Missing,http://www.tate.org.uk/art/artists/charles-sims-1944
"Singh, Raghubir",Male,1942–1999,1942,1999,"Jaipur, Bharat","Manhattan Island, United States",http://www.tate.org.uk/art/artists/raghubir-singh-5261
"Singier, Gustave",Male,1909–1984,1909,1984,"Warneton, België",Missing,http://www.tate.org.uk/art/artists/gustave-singier-1945
"Singleton, Henry",Male,1766–1839,1766,1839,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/henry-singleton-496
"Sintenis, Renée",Female,1888–1965,1888,1965,Schlesien,"Berlin, Deutschland",http://www.tate.org.uk/art/artists/renee-sintenis-1946
"Siqueiros, David Alfaro",Male,1896–1974,1896,1974,"Chihuahua, México",Missing,http://www.tate.org.uk/art/artists/david-alfaro-siqueiros-5257
"Sironi, Mario",Male,1885–1961,1885,1961,"Sassari, Italia","Milano, Italia",http://www.tate.org.uk/art/artists/mario-sironi-1947
"Siskind, Aaron",Male,1903–1991,1903,1991,"New York, United States","Providence, United States",http://www.tate.org.uk/art/artists/aaron-siskind-14489
"Sisley, Alfred",Male,1839–1899,1839,1899,"Paris, France","Moret-sur-Loing, France",http://www.tate.org.uk/art/artists/alfred-sisley-1948
"Skaer, Lucy",Female,born 1977,1977,9999,"Cambridge, United Kingdom",Missing,http://www.tate.org.uk/art/artists/lucy-skaer-13391
"Skeaf, D.",Missing,active 1803–1819,1803,1819,Missing,Missing,http://www.tate.org.uk/art/artists/d-skeaf-2457
"Skeaping, John",Male,1901–1980,1901,1980,"Greater London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/john-skeaping-1949
"Skelton, Jonathan",Male,c.1735–1759,1735,1759,Missing,Missing,http://www.tate.org.uk/art/artists/jonathan-skelton-497
